ticker,company_name,our_sector,screener_broad_sector,screener_sector,screener_broad_industry,screener_industry,status
CONCOR.NS,CONTAINER CORPORATION OF INDIA LIMITED,LOGISTICS,Services,Services,Transport Services,Logistics Solution Provider,ok
CONCORDBIO.NS,CONCORD BIOTECH LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
COROMANDEL.NS,COROMANDEL INTERNATIONAL LIMITED,CHEMICALS,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,ok
CRAFTSMAN.NS,CRAFTSMAN AUTOMATION LIMITED,AUTO COMPONENTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
CREDITACC.NS,CREDITACCESS GRAMEEN LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Microfinance Institutions,ok
CRISIL.NS,CRISIL LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Other Financial Services,ok
CROMPTON.NS,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,CONSUMER DURABLES,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,ok
CSBBANK.NS,CSB BANK LIMITED,BANKING,Financial Services,Financial Services,Banks,Private Sector Bank,ok
CUB.NS,CITY UNION BANK LIMITED,BANKING,Financial Services,Financial Services,Banks,Private Sector Bank,ok
CUMMINSIND.NS,CUMMINS INDIA LTD,INDUSTRIAL,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines",ok
CYIENT.NS,CYIENT LIMITED,IT,Information Technology,Information Technology,IT - Services,IT Enabled Services,ok
DABUR.NS,DABUR INDIA LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,ok
DALBHARAT.NS,DALMIA BHARAT LIMITED,CEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
DATAPATTNS.NS,DATA PATTERNS (INDIA) LTD,DEFENCE,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,ok
DBREALTY.NS,D B REALTY LIMITED,REALTY,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,ok
DEEPAKFERT.NS,DEEPAK FERTILIZERS & PETR,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,ok
DEEPAKNTR.NS,DEEPAK NITRITE LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
DELHIVERY.NS,DELHIVERY LIMITED,LOGISTICS,Services,Services,Transport Services,Logistics Solution Provider,ok
DELTACORP.NS,DELTA CORP LIMITED,CONSUMER SERVICES,Consumer Discretionary,Consumer Services,Leisure Services,Amusement Parks/ Other Recreation,ok
DEVYANI.NS,DEVYANI INTERNATIONAL LIMITED,CONSUMER SERVICES,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants,ok
DHANI.NS,DHANI SERVICES LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Other Financial Services,ok
DHANUKA.NS,DHANUKA AGRITECH LIMITED,CHEMICALS,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,ok
DIVISLAB.NS,DIVI'S LABORATORIES LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
DIXON.NS,DIXON TECHNOLOGIES (INDIA) LIMITED,CONSUMER DURABLES,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,ok
DLF.NS,DLF LIMITED,REALTY,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",ok
DMART.NS,AVENUE SUPERMARTS LIMITED,CONSUMER SERVICES,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,ok
DOMS.NS,DOMS INDUSTRIES LIMITED,CONSUMER DURABLES,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Stationary,ok
DRREDDY.NS,DR. REDDY'S LABORATORIES LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
EASEMYTRIP.NS,EASY TRIP PLANNERS LIMITED,CONSUMER SERVICES,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services",ok
ECLERX.NS,ECLERX SERVICES LIMITED,IT,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),ok
EDELWEISS.NS,EDELWEISS FINANCIAL SERVICES LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Holding Company,ok
EICHERMOT.NS,EICHER MOTORS LIMITED,AUTOMOBILE,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,ok
