ticker,company_name,our_sector,screener_broad_sector,screener_sector,screener_broad_industry,screener_industry,status
INDUSINDBK.NS,INDUSIND BANK LIMITED,BANKING,Financial Services,Financial Services,Banks,Private Sector Bank,ok
INDUSTOWER.NS,INDUS TOWERS LIMITED,TELECOM,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure,ok
INFIBEAM.NS,INFIBEAM AVENUES LIMITED,IT,,,,,no_breadcrumb
INFY.NS,INFOSYS LIMITED,IT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,ok
INOXINDIA.NS,INOX INDIA LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Products,Other Industrial Products,ok
INOXWIND.NS,INOX WIND LIMITED,ENERGY,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,ok
INTELLECT.NS,INTELLECT DESIGN ARENA LIMITED,IT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,ok
IOB.NS,INDIAN OVERSEAS BANK,BANKING,Financial Services,Financial Services,Banks,Public Sector Bank,ok
IOC.NS,INDIAN OIL CORPORATION LIMITED,ENERGY,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,ok
IPCALAB.NS,IPCA LABORATORIES LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
IRB.NS,IRB INFRASTRUCTURE DEVELOPERS LIMITED,INFRASTRUCTURE,Industrials,Construction,Construction,Civil Construction,ok
IRCON.NS,IRCON INTERNATIONAL LIMITED,INFRASTRUCTURE,Industrials,Construction,Construction,Civil Construction,ok
IRCTC.NS,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,CONSUMER SERVICES,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services",ok
IREDA.NS,INDIAN RENEWABLE ENERGY DEV AGENCY,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Financial Institution,ok
IRFC.NS,INDIAN RAILWAY FINANCE CORPORATION LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Financial Institution,ok
ITC.NS,ITC LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,ok
ITDC.NS,INDIA TOURISM DEVELOPMENT CORPORATION LIMITED,CONSUMER SERVICES,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,ok
ITI.NS,ITI LIMITED,TELECOM,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,ok
J&KBANK.NS,JAMMU & KASHMIR BANK LIMITED,BANKING,Financial Services,Financial Services,Banks,Private Sector Bank,ok
JAMNAAUTO.NS,JAMNA AUTO INDUSTRIES LIMITED,AUTO COMPONENTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
JBCHEPHARM.NS,JB CHEMICALS & PHARMACEUTICALS LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
JBMA.NS,JBM AUTO LIMITED,AUTO COMPONENTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
JINDALSAW.NS,JINDAL SAW LIMITED,METALS,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,ok
JINDALSTEL.NS,JINDAL STEEL & POWER LIMITED,METALS,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,ok
JIOFIN.NS,JIO FINANCIAL SERVICES LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Investment Company,ok
JKCEMENT.NS,JK CEMENT LIMITED,CEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
JKLAKSHMI.NS,JK LAKSHMI CEMENT LIMITED,CEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
JKPAPER.NS,JK PAPER LIMITED,INDUSTRIAL,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,ok
JKTYRE.NS,JK TYRE & INDUSTRIES LIMITED,AUTO COMPONENTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,ok
JMFINANCIL.NS,JM FINANCIAL LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Holding Company,ok
JPPOWER.NS,JAIPRAKASH POWER VENTURES LIMITED,ENERGY,Utilities,Power,Power,Power Generation,ok
JSL.NS,JINDAL STAINLESS LIMITED,METALS,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,ok
JSWENERGY.NS,JSW ENERGY LIMITED,ENERGY,Utilities,Power,Power,Power Generation,ok
JSWINFRA.NS,JSW INFRASTRUCTURE LIMITED,INFRASTRUCTURE,Services,Services,Transport Infrastructure,Port & Port services,ok
JSWSTEEL.NS,JSW STEEL LTD,METALS,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,ok
JUBLFOOD.NS,JUBILANT FOODWORKS LIMITED,CONSUMER SERVICES,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants,ok
JUBLINGREA.NS,JUBILANT INGREVIA LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
JUBLPHARMA.NS,JUBILANT PHARMOVA LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
JUSTDIAL.NS,JUST DIAL LIMITED,IT,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail,ok
JWL.NS,JET AIRWAYS (INDIA) LIMITED,AVIATION,Industrials,Capital Goods,Industrial Manufacturing,Railway Wagons,ok
JYOTHYLAB.NS,JYOTHY LABS LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products,ok
JYOTICNC.NS,JYOTI CNC AUTOMATION LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,ok
KAJARIACER.NS,KAJARIA CERAMICS LIMITED,CONSUMER DURABLES,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,ok
KALYANKJIL.NS,KALYAN JEWELLERS INDIA LIMITED,CONSUMER DURABLES,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",ok
KANSAINER.NS,KANSAI NEROLAC PAINTS LIMITED,CHEMICALS,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,ok
KARURVYSYA.NS,KARUR VYSYA BANK LIMITED,BANKING,Financial Services,Financial Services,Banks,Private Sector Bank,ok
KAYNES.NS,KAYNES TECHNOLOGY INDIA LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,ok
KEC.NS,KEC INTERNATIONAL LIMITED,INFRASTRUCTURE,Industrials,Construction,Construction,Civil Construction,ok
KEI.NS,KEI INDUSTRIES LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Products,Cables - Electricals,ok
KFINTECH.NS,KFIN TECHNOLOGIES LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",ok
KIMS.NS,KRISHNA INSTITUTE OF MEDICAL SCIENCES LT,HEALTHCARE,Healthcare,Healthcare,Healthcare Services,Hospital,ok
KIOCL.NS,KIOCL LIMITED,METALS,Commodities,Metals & Mining,Ferrous Metals,Sponge Iron,ok
KIRLOSBROS.NS,KIRLOSKAR BROTHERS LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines",ok
KIRLOSENG.NS,KIRLOSKAR OIL ENGINES LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines",ok
KNRCON.NS,KNR CONSTRUCTIONS LIMITED,INFRASTRUCTURE,Industrials,Construction,Construction,Civil Construction,ok
KOTAKBANK.NS,KOTAK MAHINDRA BANK LIMITED,BANKING,Financial Services,Financial Services,Banks,Private Sector Bank,ok
KPEL.NS,K P Energy Limited,ENERGY,Utilities,Power,Power,Power Generation,ok
KPENERGY.NS,K P ENERGY LIMITED,ENERGY,,,,,no_breadcrumb
KPIGREEN.NS,KPI GREEN ENERGY LIMITED,ENERGY,Utilities,Power,Power,Power Generation,ok
KPIL.NS,KALPATARU PROJECTS INTERNATIONAL,INFRASTRUCTURE,Industrials,Construction,Construction,Civil Construction,ok
KPITTECH.NS,KPIT TECHNOLOGIES LIMITED,IT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,ok
KPRMILL.NS,KPR MILL LIMITED,TEXTILES,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,ok
KRBL.NS,KRBL LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,ok
KSB.NS,KSB LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines",ok
KSCL.NS,KAVERI SEED COMPANY LIMITED,AGRICULTURE,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,ok
LALPATHLAB.NS,DR. LAL PATH LABS LIMITED,HEALTHCARE,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider,ok
LATENTVIEW.NS,LATENT VIEW ANALYTICS LIMITED,IT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,ok
LAURUSLABS.NS,LAURUS LABS LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
LAXMIMACH.NS,LAKSHMI MACHINE WORKS LIMITED,INDUSTRIAL,,,,,no_breadcrumb
LEMONTREE.NS,LEMON TREE HOTELS LIMITED,CONSUMER SERVICES,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,ok
LICHSGFIN.NS,LIC HOUSING FINANCE LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Housing Finance Company,ok
LICI.NS,LIFE INSURANCE CORPORATION OF INDIA,FINANCIAL SERVICES,Financial Services,Financial Services,Insurance,Life Insurance,ok
LINDEINDIA.NS,LINDE INDIA LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Industrial Gases,ok
LLOYDSME.NS,LLOYDS METALS AND ENERGY LIMITED,METALS,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,ok
LODHA.NS,MACROTECH DEVELOPERS LIMITED,REALTY,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",ok
LT.NS,LARSEN & TOUBRO LIMITED,INFRASTRUCTURE,Industrials,Construction,Construction,Civil Construction,ok
LTF.NS,L&T FINANCE LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
LTIM.NS,LTIMindtree Limited,IT,,,,,no_breadcrumb
LTTS.NS,L&T TECHNOLOGY SERVICES LIMITED,IT,Information Technology,Information Technology,IT - Services,IT Enabled Services,ok
LUPIN.NS,LUPIN LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
LXCHEM.NS,LAXMI ORGANIC INDUSTRIES LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
M&M.NS,MAHINDRA & MAHINDRA LTD,AUTOMOBILE,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,ok
M&MFIN.NS,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
MAHABANK.NS,BANK OF MAHARASHTRA,BANKING,Financial Services,Financial Services,Banks,Public Sector Bank,ok
MAHINDCIE.NS,MAHINDRA CIE AUTOMOTIVE LIMITED,AUTO COMPONENTS,,,,,no_breadcrumb
MAHLIFE.NS,MAHINDRA LIFESPACE DEVELOPERS LIMITED,REALTY,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",ok
MAHLOG.NS,MAHINDRA LOGISTICS LIMITED,LOGISTICS,Services,Services,Transport Services,Logistics Solution Provider,ok
MAHSEAMLES.NS,MAHARASHTRA SEAMLESS LIMITED,METALS,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,ok
MANAPPURAM.NS,MANAPPURAM FINANCE LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
MANINFRA.NS,MAN INFRACONSTRUCTION LIMITED,INFRASTRUCTURE,Industrials,Construction,Construction,Civil Construction,ok
MANKIND.NS,MANKIND PHARMA LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
MANYAVAR.NS,VEDANT FASHIONS LIMITED,CONSUMER DURABLES,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,ok
MAPMYINDIA.NS,CE INFO SYSTEMS LTD,IT,Information Technology,Information Technology,IT - Software,Software Products,ok
MARICO.NS,MARICO LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,ok
MARUTI.NS,MARUTI SUZUKI INDIA LIMITED,AUTOMOBILE,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,ok
MASTEK.NS,MASTEK LIMITED,IT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,ok
MAXHEALTH.NS,MAX HEALTHCARE INSTITUTE LIMITED,HEALTHCARE,Healthcare,Healthcare,Healthcare Services,Hospital,ok
MAZDOCK.NS,MAZAGON DOCK SHIPBUILDERS LTD,DEFENCE,Industrials,Capital Goods,Industrial Manufacturing,Ship Building & Allied Services,ok
MCDOWELL-N.NS,UNITED SPIRITS LIMITED,FMCG,,,,,no_breadcrumb
MCX.NS,MULTI COMMODITY EXCHANGE OF INDIA LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Capital Markets,Exchange and Data Platform,ok
MEDANTA.NS,GLOBAL HEALTH LIMITED,HEALTHCARE,Healthcare,Healthcare,Healthcare Services,Hospital,ok
METROBRAND.NS,METRO BRANDS LIMITED,CONSUMER DURABLES,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,ok
METROPOLIS.NS,METROPOLIS HEALTHCARE LIMITED,HEALTHCARE,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider,ok
MFSL.NS,MAX FINANCIAL SERVICES LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Insurance,Life Insurance,ok
MGL.NS,MAHANAGAR GAS LIMITED,ENERGY,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier,ok
MHRIL.NS,MAHINDRA HOLIDAYS & RESORTS INDIA LIMITED,CONSUMER SERVICES,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,ok
MIDHANI.NS,MISHRA DHATU NIGAM LIMITED,METALS,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,ok
MINDACORP.NS,MINDA CORPORATION LIMITED,AUTO COMPONENTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
MINDAIND.NS,MINDA INDUSTRIES LIMITED,AUTO COMPONENTS,,,,,no_breadcrumb
MMTC.NS,MMTC LIMITED,TRADING,Services,Services,Commercial Services & Supplies,Trading & Distributors,ok
MODEFENCE.NS,MOTILAL OSWAL DEFENCE ETF,DEFENCE,,,,,no_breadcrumb
MOIL.NS,MOIL LIMITED,METALS,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,ok
MOTHERSON.NS,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,AUTO COMPONENTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
MOTILALOFS.NS,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,ok
MPHASIS.NS,MPHASIS LIMITED,IT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,ok
MRF.NS,MRF LIMITED,AUTO COMPONENTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,ok
MRPL.NS,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,ENERGY,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,ok
MSUMI.NS,MOTHERSON SUMI WIRING INDIA LIMITED,AUTO COMPONENTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
MUTHOOTFIN.NS,MUTHOOT FINANCE LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
NAM-INDIA.NS,NIPPON LIFE INDIA ASSET MANAGEMENT,FINANCIAL SERVICES,Financial Services,Financial Services,Capital Markets,Asset Management Company,ok
NATCOPHARM.NS,NATCO PHARMA LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
NATIONALUM.NS,NATIONAL ALUMINIUM COMPANY LIMITED,METALS,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium,ok
NAUKRI.NS,INFO EDGE (INDIA) LIMITED,IT,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail,ok
NAVA.NS,NAVA LIMITED,ENERGY,Utilities,Power,Power,Power Generation,ok
NAVINFLUOR.NS,NAVIN FLUORINE INTERNATIONAL LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
NBCC.NS,NBCC (INDIA) LIMITED,INFRASTRUCTURE,Industrials,Construction,Construction,Civil Construction,ok
NCC.NS,NCC LIMITED,INFRASTRUCTURE,Industrials,Construction,Construction,Civil Construction,ok
NESTLEIND.NS,NESTLE INDIA LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,ok
NETWEB.NS,NETWEB TECHNOLOGIES INDIA LIMITED,IT,Information Technology,Information Technology,IT - Services,IT Enabled Services,ok
NETWORK18.NS,NETWORK18 MEDIA & INVESTMENTS LIMITED,MEDIA,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Media & Entertainment,ok
NEULANDLAB.NS,NEULAND LABORATORIES LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
NEWGEN.NS,NEWGEN SOFTWARE TECHNOLOGIES LIMITED,IT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,ok
NFL.NS,NATIONAL FERTILIZERS LIMITED,CHEMICALS,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,ok
NH.NS,NARAYANA HRUDAYALAYA LIMITED,HEALTHCARE,Healthcare,Healthcare,Healthcare Services,Hospital,ok
NHPC.NS,NHPC LIMITED,ENERGY,Utilities,Power,Power,Power Generation,ok
NIACL.NS,THE NEW INDIA ASSURANCE CO LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Insurance,General Insurance,ok
NIITLTD.NS,NIIT LIMITED,IT,Consumer Discretionary,Consumer Services,Other Consumer Services,Education,ok
NLCINDIA.NS,NLC INDIA LIMITED,ENERGY,Utilities,Power,Power,Power Generation,ok
NMDC.NS,NMDC LIMITED,METALS,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,ok
NOCIL.NS,NOCIL LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
NSLNISP.NS,NSL NISP LIMITED,HEALTHCARE,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,ok
NTPC.NS,NTPC LIMITED,ENERGY,Utilities,Power,Power,Power Generation,ok
NUVAMA.NS,NUVAMA WEALTH MANAGEMENT LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,ok
NUVOCO.NS,NUVOCO VISTAS CORPORATION LIMITED,CEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
NYKAA.NS,FSN E-Commerce Ventures Ltd,CONSUMER SERVICES,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce,ok
OBEROIRLTY.NS,OBEROI REALTY LIMITED,REALTY,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",ok
OFSS.NS,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,IT,Information Technology,Information Technology,IT - Software,Software Products,ok
OIL.NS,OIL INDIA LIMITED,ENERGY,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production,ok
OLECTRA.NS,OLECTRA GREENTECH LIMITED,AUTOMOBILE,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,ok
OMAXE.NS,OMAXE LIMITED,REALTY,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",ok
ONGC.NS,OIL AND NATURAL GAS CORPORATION LIMITED,ENERGY,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production,ok
ORIENTELEC.NS,ORIENT ELECTRIC LIMITED,CONSUMER DURABLES,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,ok
PACEDIGITK.NS,Pace Digitek Limited,IT,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure,ok
PAGEIND.NS,PAGE INDUSTRIES LIMITED,CONSUMER DURABLES,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,ok
PATANJALI.NS,PATANJALI FOODS LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,ok
PAYTM.NS,ONE97 COMMUNICATIONS LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech),ok
PCBL.NS,PHILLIPS CARBON BLACK LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Carbon Black,ok
PEL.NS,PIRAMAL ENTERPRISES LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
PERSISTENT.NS,PERSISTENT SYSTEMS LIMITED,IT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,ok
PETRONET.NS,PETRONET LNG LIMITED,ENERGY,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier,ok
PFC.NS,POWER FINANCE CORPORATION LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Financial Institution,ok
PFIZER.NS,PFIZER LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
PGEL.NS,PG Electroplast Limited,CONSUMER DURABLES,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,ok
PGHH.NS,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,ok
PHILIPCARB.NS,PHILLIPS CARBON BLACK LIMITED,CHEMICALS,,,,,no_breadcrumb
PHOENIXLTD.NS,THE PHOENIX MILLS LIMITED,REALTY,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",ok
PIDILITIND.NS,PIDILITE INDUSTRIES LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
PIIND.NS,PI INDUSTRIES LIMITED,CHEMICALS,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,ok
PNB.NS,PUNJAB NATIONAL BANK,BANKING,Financial Services,Financial Services,Banks,Public Sector Bank,ok
PNBHOUSING.NS,PNB HOUSING FINANCE LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Housing Finance Company,ok
PNCINFRA.NS,PNC INFRATECH LIMITED,INFRASTRUCTURE,Industrials,Construction,Construction,Civil Construction,ok
POLICYBZR.NS,PB FINTECH LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech),ok
POLYCAB.NS,POLYCAB INDIA LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Products,Cables - Electricals,ok
POLYMED.NS,POLY MEDICURE LIMITED,HEALTHCARE,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies,ok
POLYPLEX.NS,POLYPLEX CORPORATION LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Products,Packaging,ok
POONAWALLA.NS,POONAWALLA FINCORP LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
POWERGRID.NS,POWER GRID CORPORATION OF INDIA LIMITED,ENERGY,Utilities,Power,Power,Power - Transmission,ok
POWERINDIA.NS,ABB POWER PRODUCTS AND SYSTEMS INDIA LIMITED,INDUSTRIAL,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,ok
PPLPHARMA.NS,PIRAMAL PHARMA LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
PRAJIND.NS,PRAJ INDUSTRIES LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,ok
PRESTIGE.NS,PRESTIGE ESTATES PROJECTS LIMITED,REALTY,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",ok
PRSMJOHNSN.NS,PRISM JOHNSON LIMITED,CEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
PTCIL.NS,PTC INDIA FINANCIAL SERVICES LIMITED,ENERGY,Industrials,Capital Goods,Industrial Products,Other Industrial Products,ok
PVRINOX.NS,PVR INOX LIMITED,CONSUMER SERVICES,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition",ok
QUESS.NS,QUESS CORP LIMITED,CONSUMER SERVICES,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,ok
RADICO.NS,RADICO KHAITAN LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,ok
RAILTEL.NS,RAILTEL CORPORATION OF INDIA LIMITED,IT,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services,ok
RAIN.NS,RAIN INDUSTRIES LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,ok
RAINBOW.NS,RAINBOW CHILDRENS MEDICARE LIMITED,HEALTHCARE,Healthcare,Healthcare,Healthcare Services,Hospital,ok
RAJESHEXPO.NS,RAJESH EXPORTS LIMITED,CONSUMER DURABLES,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",ok
RALLIS.NS,RALLIS INDIA LIMITED,CHEMICALS,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,ok
RAMCOCEM.NS,THE RAMCO CEMENTS LIMITED,CEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
RATNAMANI.NS,RATNAMANI METALS & TUBES LIMITED,METALS,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,ok
RAYMOND.NS,RAYMOND LIMITED,TEXTILES,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",ok
RBLBANK.NS,RBL BANK LIMITED,BANKING,Financial Services,Financial Services,Banks,Private Sector Bank,ok
RCF.NS,RASHTRIYA CHEMICALS & FERTILIZERS LIMITED,CHEMICALS,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,ok
RECLTD.NS,REC LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Financial Institution,ok
REDINGTON.NS,REDINGTON LIMITED,IT,Services,Services,Commercial Services & Supplies,Trading & Distributors,ok
RELAXO.NS,RELAXO FOOTWEARS LIMITED,CONSUMER DURABLES,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,ok
