ticker,company_name,our_sector,expected_sector,verdict,screener_broad_sector,screener_sector,screener_broad_industry,screener_industry,status
VGUARD.NS,V-GUARD INDUSTRIES LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,ok
VIPIND.NS,VIP INDUSTRIES LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,ok
VOLTAS.NS,VOLTAS LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,ok
WHIRLPOOL.NS,WHIRLPOOL OF INDIA LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,ok
ABFRL.NS,ADITYA BIRLA FASHION AND RETAIL LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,ok
BLS.NS,BLS INTERNATIONAL SERVICES LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services",ok
DELTACORP.NS,DELTA CORP LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Leisure Services,Amusement Parks/ Other Recreation,ok
DEVYANI.NS,DEVYANI INTERNATIONAL LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants,ok
DMART.NS,AVENUE SUPERMARTS LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,ok
EASEMYTRIP.NS,EASY TRIP PLANNERS LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services",ok
EIHOTEL.NS,EIH LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,ok
INDHOTEL.NS,THE INDIAN HOTELS COMPANY LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,ok
