ticker,company_name,our_sector,expected_sector,verdict,screener_broad_sector,screener_sector,screener_broad_industry,screener_industry,status
SUNDRMFAST.NS,SUNDRAM FASTENERS LIMITED,AUTO COMPONENTS,AUTO COMPONENTS,match,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
SUPRAJIT.NS,SUPRAJIT ENGINEERING LIMITED,AUTO COMPONENTS,AUTO COMPONENTS,match,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
TIINDIA.NS,TUBE INVESTMENTS OF INDIA LIMITED,AUTO COMPONENTS,AUTO COMPONENTS,match,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
TVSSRICHAK.NS,TVS SRICHAKRA LIMITED,AUTO COMPONENTS,AUTO COMPONENTS,match,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,ok
UNOMINDA.NS,UNO MINDA LIMITED,AUTO COMPONENTS,AUTO COMPONENTS,match,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
VARROC.NS,VARROC ENGINEERING LIMITED,AUTO COMPONENTS,AUTO COMPONENTS,match,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
ZFCVINDIA.NS,ZF COMMERCIAL VEHICLE CONTROL SYSTEMS,AUTO COMPONENTS,AUTO COMPONENTS,match,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
BAJAJ-AUTO.NS,BAJAJ AUTO LIMITED,AUTOMOBILE,AUTOMOBILE,match,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,ok
EICHERMOT.NS,EICHER MOTORS LIMITED,AUTOMOBILE,AUTOMOBILE,match,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,ok
HEROMOTOCO.NS,HERO MOTOCORP LIMITED,AUTOMOBILE,AUTOMOBILE,match,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,ok
M&M.NS,MAHINDRA & MAHINDRA LTD,AUTOMOBILE,AUTOMOBILE,match,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,ok
MARUTI.NS,MARUTI SUZUKI INDIA LIMITED,AUTOMOBILE,AUTOMOBILE,match,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,ok
OLECTRA.NS,OLECTRA GREENTECH LIMITED,AUTOMOBILE,AUTOMOBILE,match,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,ok
TVSMOTOR.NS,TVS MOTOR COMPANY LTD,AUTOMOBILE,AUTOMOBILE,match,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,ok
AUBANK.NS,AU SMALL FINANCE BANK LIMITED,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Other Bank,ok
AXISBANK.NS,AXIS BANK LIMITED,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Private Sector Bank,ok
BANDHANBNK.NS,BANDHAN BANK LIMITED,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Private Sector Bank,ok
BANKBARODA.NS,BANK OF BARODA,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Public Sector Bank,ok
BANKINDIA.NS,BANK OF INDIA,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Public Sector Bank,ok
CANBK.NS,CANARA BANK,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Public Sector Bank,ok
CENTRALBK.NS,CENTRAL BANK OF INDIA,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Public Sector Bank,ok
CSBBANK.NS,CSB BANK LIMITED,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Private Sector Bank,ok
CUB.NS,CITY UNION BANK LIMITED,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Private Sector Bank,ok
EQUITASBNK.NS,EQUITAS SMALL FINANCE BANK LIMITED,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Other Bank,ok
FEDERALBNK.NS,FEDERAL BANK LIMITED,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Private Sector Bank,ok
HDFCBANK.NS,HDFC BANK LIMITED,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Private Sector Bank,ok
ICICIBANK.NS,ICICI BANK LIMITED,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Private Sector Bank,ok
IDBI.NS,IDBI BANK LIMITED,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Private Sector Bank,ok
IDFCFIRSTB.NS,IDFC FIRST BANK LIMITED,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Private Sector Bank,ok
INDIANB.NS,INDIAN BANK,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Public Sector Bank,ok
INDUSINDBK.NS,INDUSIND BANK LIMITED,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Private Sector Bank,ok
IOB.NS,INDIAN OVERSEAS BANK,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Public Sector Bank,ok
J&KBANK.NS,JAMMU & KASHMIR BANK LIMITED,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Private Sector Bank,ok
KARURVYSYA.NS,KARUR VYSYA BANK LIMITED,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Private Sector Bank,ok
KOTAKBANK.NS,KOTAK MAHINDRA BANK LIMITED,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Private Sector Bank,ok
MAHABANK.NS,BANK OF MAHARASHTRA,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Public Sector Bank,ok
PNB.NS,PUNJAB NATIONAL BANK,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Public Sector Bank,ok
RBLBANK.NS,RBL BANK LIMITED,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Private Sector Bank,ok
SBIN.NS,STATE BANK OF INDIA,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Public Sector Bank,ok
UCOBANK.NS,UCO BANK,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Public Sector Bank,ok
UJJIVANSFB.NS,UJJIVAN SMALL FINANCE BANK LIMITED,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Other Bank,ok
UNIONBANK.NS,UNION BANK OF INDIA,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Public Sector Bank,ok
YESBANK.NS,YES BANK LIMITED,BANKING,BANKING,match,Financial Services,Financial Services,Banks,Private Sector Bank,ok
ACC.NS,ACC LIMITED,CEMENT,CEMENT,match,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
AMBUJACEM.NS,AMBUJA CEMENTS LIMITED,CEMENT,CEMENT,match,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
BIRLACORPN.NS,BIRLA CORPORATION LIMITED,CEMENT,CEMENT,match,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
DALBHARAT.NS,DALMIA BHARAT LIMITED,CEMENT,CEMENT,match,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
GRASIM.NS,GRASIM INDUSTRIES LIMITED,CEMENT,CEMENT,match,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
HEIDELBERG.NS,HEIDELBERG CEMENT INDIA LIMITED,CEMENT,CEMENT,match,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
